expected_return,volatility,assumption,scenario,Date,monthly_return,growth_of_one
0.12,0.18,Median imputation,Baseline,2025-01-31,0.015724175841831004,1.015724175841831
0.12,0.18,Median imputation,Baseline,2025-02-28,0.00533187099641774,1.0211398861153622
0.12,0.18,Median imputation,Baseline,2025-03-31,0.021959558749078963,1.0435636674355404
0.12,0.18,Median imputation,Baseline,2025-04-30,0.012606484388207025,1.0567193365171665
0.12,0.18,Median imputation,Baseline,2025-05-31,0.0022141795427937606,1.0590591028545573
0.12,0.18,Median imputation,Baseline,2025-06-30,0.01780263681091366,1.077913147423969
0.12,0.18,Median imputation,Baseline,2025-07-31,0.011567253903665699,1.0903816424863215
0.12,0.18,Median imputation,Baseline,2025-08-31,0.004292640511876413,1.0950622588982646
0.12,0.18,Median imputation,Baseline,2025-09-30,0.01988109777999631,1.1168332987426046
0.12,0.18,Median imputation,Baseline,2025-10-31,0.010528023419124372,1.1285913458670247
0.12,0.18,Median imputation,Baseline,2025-11-30,0.0063711014809590665,1.1357817158620758
0.12,0.18,Median imputation,Baseline,2025-12-31,0.01676340632637233,1.1548212862631362
0.11,0.185,Mean imputation,Mean imputation,2025-01-31,0.015143181811556753,1.0151431818115568
0.11,0.185,Mean imputation,Mean imputation,2025-02-28,0.004462201831548675,1.0196729555767206
0.11,0.185,Mean imputation,Mean imputation,2025-03-31,0.0215517697995616,1.0416487123861486
0.11,0.185,Mean imputation,Mean imputation,2025-04-30,0.011938887817554329,1.0540848395086269
0.11,0.185,Mean imputation,Mean imputation,2025-05-31,0.001257907837546251,1.0554107810896836
0.11,0.185,Mean imputation,Mean imputation,2025-06-30,0.017279377807558366,1.0736476227183025
0.11,0.185,Mean imputation,Mean imputation,2025-07-31,0.010870789819553521,1.0853190203651364
0.11,0.185,Mean imputation,Mean imputation,2025-08-31,0.003394103833547867,1.08900270581278
0.11,0.185,Mean imputation,Mean imputation,2025-09-30,0.019415573803559984,1.1101463182197646
0.11,0.185,Mean imputation,Mean imputation,2025-10-31,0.009802691821552714,1.1210287404541044
0.11,0.185,Mean imputation,Mean imputation,2025-11-30,0.005530299829549483,1.1272283655063577
0.11,0.185,Mean imputation,Mean imputation,2025-12-31,0.016211279809557562,1.1455021799488514
0.135,0.19,Keep observations within 3σ,3σ outlier rule,2025-01-31,0.01719039031534854,1.0171903903153485
0.135,0.19,Keep observations within 3σ,3σ outlier rule,2025-02-28,0.006220735200745647,1.0235180623822435
0.135,0.19,Keep observations within 3σ,3σ outlier rule,2025-03-31,0.023772183384110274,1.0478493214581435
0.135,0.19,Keep observations within 3σ,3σ outlier rule,2025-04-30,0.013899493780967671,1.0624138965851422
0.135,0.19,Keep observations within 3σ,3σ outlier rule,2025-05-31,0.0029298386663647825,1.0655265978990405
0.135,0.19,Keep observations within 3σ,3σ outlier rule,2025-06-30,0.019384321338269117,1.0861811078671881
0.135,0.19,Keep observations within 3σ,3σ outlier rule,2025-07-31,0.012802528269507382,1.1000869722064628
0.135,0.19,Keep observations within 3σ,3σ outlier rule,2025-08-31,0.005123769689285358,1.1057235644902321
0.135,0.19,Keep observations within 3σ,3σ outlier rule,2025-09-30,0.021578252361189695,1.1295831466065165
0.135,0.19,Keep observations within 3σ,3σ outlier rule,2025-10-31,0.011705562758047093,1.1428055530195513
0.135,0.19,Keep observations within 3σ,3σ outlier rule,2025-11-30,0.0073177007122059365,1.1511682620287953
0.135,0.19,Keep observations within 3σ,3σ outlier rule,2025-12-31,0.018287355826808824,1.172220085653045
